source,target,relation,description,source_chunk
Daniel Lang,Casualties of War,created,Daniel Lang created the story Casualties of War,unknown_0
Truckline Cafe,Maxwell Anderson,written_by,Written by Maxwell Anderson,unknown_0
Truckline Cafe,Harold Clurman,directed_by,Directed by Harold Clurman,unknown_0
Truckline Cafe,Elia Kazan,produced_by,Produced by Elia Kazan,unknown_0
Truckline Cafe,Marlon Brando,starring,Starring Marlon Brando,unknown_0
Truckline Cafe,Karl Malden,starring,Starring Karl Malden,unknown_0
Marlon Brando,David Manners,influenced_by,Attributed much of his subsequent success to David Manners,unknown_0
Marlon Brando,A Streetcar Named Desire,inspired_by,Presaged his later work on A Streetcar Named Desire,unknown_0
Truckline Cafe,A Streetcar Named Desire,related_to,Related to A Streetcar Named Desire,unknown_0
Elia Kazan,Marlon Brando,collaborated_with,First collaboration between Brando and Kazan,unknown_0
Elia Kazan,Marlon Brando,collaborated_with,"Collaborated on A Streetcar Named Desire, Viva Zapata, and On the Waterfront",unknown_0
Karl Malden,Marlon Brando,collaborated_with,"Co-starring in A Streetcar Named Desire, On the Waterfront, and One Eyed Jacks",unknown_0
All My Sons,Arthur Miller,author,play written by Arthur Miller,unknown_0
All My Sons,play,instance_of,example of a play,unknown_0
All My Sons,Coronet Theatre,performed_at,play performed at Coronet Theatre,unknown_0
All My Sons,New York City,located_in,play set in New York City,unknown_0
All My Sons,Elia Kazan,director,play directed by Elia Kazan,unknown_0
All My Sons,Harold Clurman,producer,play produced by Harold Clurman,unknown_0
All My Sons,Ed Begley,actor,play starred Ed Begley,unknown_0
All My Sons,Beth Miller,actor,play starred Beth Miller,unknown_0
All My Sons,Arthur Kennedy,actor,play starred Arthur Kennedy,unknown_0
All My Sons,Karl Malden,actor,play starred Karl Malden,unknown_0
All My Sons,Tony Award,winner,play won Tony Award,unknown_0
All My Sons,New York Drama Critics' Circle Award,winner,play won New York Drama Critics' Circle Award,unknown_0
All My Sons,film adaptation,adapted_into,play adapted into film,unknown_0
1947,All My Sons,year_written,year play was written,unknown_0
Maya Kazan,Nicholas Kazan,parent,Nicholas Kazan is Maya Kazan's father,unknown_0
Maya Kazan,Robin Swicord,parent,Robin Swicord is Maya Kazan's mother,unknown_0
Maya Kazan,Elia Kazan,grandparent,Elia Kazan is Maya Kazan's grandfather,unknown_0
Maya Kazan,Molly Kazan,grandparent,Molly Kazan is Maya Kazan's grandmother,unknown_0
Maya Kazan,Zoe Kazan,sibling,Zoe Kazan is Maya Kazan's sister,unknown_0
Maya Kazan,Caroline,played,Maya Kazan played the role of Caroline in Frances Ha,unknown_0
Maya Kazan,Eleanor Gallinger,played,Maya Kazan played the role of Eleanor Gallinger in The Knick,unknown_0
Maya Kazan,Mabel Thompson,played,Maya Kazan played the role of Mabel Thompson in Boardwalk Empire,unknown_0
Josef von Sternberg,Macao,directed,Directed the film,unknown_0
Nicholas Ray,Macao,directed,Finished directing the film,unknown_0
Howard Hughes,Macao,produced,Produced the film,unknown_0
Howard Hughes,Josef von Sternberg,fired,Fired Josef von Sternberg as director,unknown_0
Howard Hughes,Nicholas Ray,hired,Hired Nicholas Ray to finish the film,unknown_0
Robert Mitchum,Macao,acted_in,Acted in the film,unknown_0
Jane Russell,Macao,acted_in,Acted in the film,unknown_0
William Bendix,Macao,acted_in,Acted in the film,unknown_0
Gloria Grahame,Macao,acted_in,Acted in the film,unknown_0
"WizKids/NECA, LLC",National Entertainment Collectibles Association,parent_company,"WizKids/NECA, LLC is a subsidiary of National Entertainment Collectibles Association",unknown_0
"WizKids/NECA, LLC",Jordan Weisman,founder,"Jordan Weisman founded WizKids/NECA, LLC",unknown_0
"WizKids/NECA, LLC",FASA,previous_employer,"Jordan Weisman was a veteran of FASA before founding WizKids/NECA, LLC",unknown_0
"WizKids/NECA, LLC","Topps, Inc.",purchased_by,"Topps, Inc. purchased WizKids/NECA, LLC in 2003",unknown_0
"Topps, Inc.",Tornante Company,parent_company,"Tornante Company is the parent company of Topps, Inc.",unknown_0
Tornante Company,Madison Dearborn Partners,partner,Madison Dearborn Partners is a partner of Tornante Company,unknown_0
Michael Eisner,Tornante Company,founder,Michael Eisner founded Tornante Company,unknown_0
Aixam-Mega,Aix-les-Bains,based_in,Headquarters location,unknown_0
Aixam-Mega,Savoie,located_in,Department where Aixam-Mega is based,unknown_0
Aixam-Mega,Arola,acquired,Aixam-Mega acquired Arola,unknown_0
Polaris Industries,Aixam-Mega,acquired,Polaris Industries acquired Aixam-Mega,unknown_0
Aixam-Mega,Microcars,produces,Aixam-Mega produces microcars,unknown_0
Arola SARL,Lyon-Corbas,based_in,Arola SARL was based in Lyon-Corbas,unknown_0
Arola SARL,France,located_in,Arola SARL was located in France,unknown_0
Arola SARL,Aixam group,acquired_by,Arola SARL became part of the Aixam group in 1983,unknown_0
Arola SARL,microcars,manufactured,Arola SARL manufactured microcars,unknown_0
microcars,licence,designed_for,Microcars were designed to be driven without a licence,unknown_0
"Knapp, Stout & Co.",John Holly Knapp,founded_by,"John Holly Knapp co-founded Knapp, Stout & Co.",unknown_0
"Knapp, Stout & Co.",William Wilson,founded_by,"William Wilson co-founded Knapp, Stout & Co.",unknown_0
"Knapp, Stout & Co.",David Black,acquired_from,"Knapp, Stout & Co. acquired a lumber mill from David Black",unknown_0
"Knapp, Stout & Co.",Andrew Tainter,acquired_interest,"Andrew Tainter acquired a quarter-interest in Knapp, Stout & Co.",unknown_0
"Knapp, Stout & Co.",Henry Stout,acquired_interest,"Henry Stout acquired a quarter-interest in Knapp, Stout & Co.",unknown_0
"Knapp, Stout & Co.",Menomonie,based_in,"Knapp, Stout & Co. was based in Menomonie, Wisconsin",unknown_0
"Knapp, Stout & Co.",Red Cedar River,operated_on,"Knapp, Stout & Co. operated a lumber mill on the Red Cedar River",unknown_0
"Knapp, Stout & Co.",Lumber industry,controlled,"Knapp, Stout & Co. controlled the lumber industry in the region",unknown_0
"Knapp, Stout & Co.",Logging industry,controlled,"Knapp, Stout & Co. controlled the logging industry in the Red Cedar River valley",unknown_0
"Knapp, Stout & Co.",Incorporation,incorporated,"Knapp, Stout & Co. incorporated in 1878",unknown_0
"Knapp, Stout & Co.",Expansion,expanded,"Knapp, Stout & Co. expanded to sites along the Mississippi River in the 1880s",unknown_0
"Knapp, Stout & Co.",Depletion,depleted,"Knapp, Stout & Co. largely depleted its lumber supply by the 1900s",unknown_0
Syncros,Peter Hamilton,founded_by,Peter Hamilton was one of the founders of Syncros,unknown_0
Syncros,Pippin Osborne,founded_by,Pippin Osborne was one of the founders of Syncros,unknown_0
Syncros,Vancouver,based_in,"Syncros was originally based in Vancouver, British Columbia",unknown_0
Syncros,Off-road bicycle parts,produces,Syncros produces off-road bicycle parts,unknown_0
Syncros,Financial difficulties,experienced,Syncros faced financial difficulties in the late 1990s,unknown_0
Syncros,GT,sold_to,Syncros was sold to GT in the late 1990s,unknown_0
GT,Schwinn,purchased_by,GT was purchased by Schwinn,unknown_0
Schwinn,Pacific Bicycle Group,purchased_by,Schwinn was purchased by Pacific Bicycle Group,unknown_0
Pacific Bicycle Group,Syncros,regained_control_of,Pacific Bicycle Group regained control of the Syncros brand name,unknown_0
Pacific Bicycle Group,Super Cycles,settled_with,Pacific Bicycle Group settled with Super Cycles over the Syncros brand name,unknown_0
Murco Petroleum Ltd,Murphy Oil Corporation,parent_company,Murco Petroleum Ltd is a subsidiary of Murphy Oil Corporation,unknown_0
Murco Petroleum Ltd,United Kingdom,based_in,Murco Petroleum Ltd is based in the United Kingdom,unknown_0
Murco Petroleum Ltd,oil refining company,type,Murco Petroleum Ltd is an oil refining company,unknown_0
Murco Petroleum Ltd,Costcutter convenience stores,owns,Murco Petroleum Ltd owns Costcutter convenience stores,unknown_0
Murco Petroleum Ltd,Amoco,purchased_stake,Murco Petroleum Ltd purchased a 30% stake in Amoco's Milford Haven Refinery in 1981,unknown_0
Murco Petroleum Ltd,Amoco,purchased_remaining_stake,Murco Petroleum Ltd purchased the remaining 70% stake in Amoco's Milford Haven Refinery in 2007,unknown_0
Isaac Gilbert Baker,I. G. Baker Company,founded,Isaac Gilbert Baker founded I. G. Baker Company,unknown_0
I. G. Baker Company,Fort Benton,based_in,I. G. Baker Company was based in Fort Benton,unknown_0
I. G. Baker Company,Conrad brothers,partnered_with,I. G. Baker Company partnered with Conrad brothers,unknown_0
Conrad brothers,I. G. Baker Company,purchased,Conrad brothers purchased George Baker's interest in I. G. Baker Company,unknown_0
Hudson's Bay Company,I. G. Baker Company,purchased,Hudson's Bay Company purchased Canadian assets of I. G. Baker Company,unknown_0
Cliché Skateboards,Lyon,based_in,"Cliché Skateboards is based in Lyon, France",unknown_0
Cliché Skateboards,France,located_in,Cliché Skateboards is located in France,unknown_0
Cliché Skateboards,Dwindle Distribution,distributed_by,Cliché Skateboards is distributed by Dwindle Distribution,unknown_0
Cliché Skateboards,Jeremie Daclin,founded_by,Cliché Skateboards was founded by Jeremie Daclin,unknown_0
Cliché Skateboards,Salomon Group,purchased_by,Cliché Skateboards was purchased by Salomon Group,unknown_0
Salomon Group,Amer Sports,part_of,Salomon Group is part of Amer Sports,unknown_0
Dwindle Distribution,Cliché Skateboards,purchased,Dwindle Distribution purchased Cliché Skateboards,unknown_0
Dwindle Distribution,Cliché Skateboards,discontinued,Dwindle Distribution discontinued Cliché Skateboards,unknown_0
Budd Company,Budd Silverliner,designed,Budd Company designed the Budd Silverliner,unknown_0
Budd Company,Reading and Pennsylvania Railroads,sold,Budd Company sold Budd Silverliners to Reading and Pennsylvania Railroads,unknown_0
Reading and Pennsylvania Railroads,Budd Silverliner,purchased,Reading and Pennsylvania Railroads purchased Budd Silverliners,unknown_0
SEPTA Regional Rail,Budd Silverliner,used,SEPTA Regional Rail used Budd Silverliners,unknown_0
USDOT,Budd Silverliner,purchased,USDOT purchased Budd Silverliners for high-speed rail experiments,unknown_0
Budd Silverliner,Prototype,based_on,Budd Silverliner was based on the Pioneer III prototype,unknown_0
Budd Silverliner,Stainless steel,constructed_from,Budd Silverliner was constructed from stainless steel,unknown_0
Budd Silverliner,Carbon steel,contrasted_with,Budd Silverliner contrasted with carbon steel bodies of pre-war MU fleets,unknown_0
Polaris Industries,Roseau,based_in,"Polaris Industries is based in Roseau, Minnesota, USA",unknown_0
Polaris Industries,Minnesota,located_in,"Polaris Industries is located in Minnesota, USA",unknown_0
Polaris Industries,USA,located_in,Polaris Industries is located in the USA,unknown_0
Polaris Industries,Victory Motorcycles,subsidiary_of,Victory Motorcycles is a subsidiary of Polaris Industries,unknown_0
Polaris Industries,Indian Motorcycle,subsidiary_of,Indian Motorcycle is a subsidiary of Polaris Industries,unknown_0
Polaris Industries,Motorcycles,manufactures,Polaris Industries manufactures motorcycles,unknown_0
Polaris Industries,Snowmobiles,manufactures,Polaris Industries manufactures snowmobiles,unknown_0
Polaris Industries,ATV,manufactures,Polaris Industries manufactures ATVs,unknown_0
Polaris Industries,Neighborhood Electric Vehicles,manufactures,Polaris Industries manufactures neighborhood electric vehicles,unknown_0
Polaris Industries,April 2011,purchased,Polaris Industries purchased Indian Motorcycle in April 2011,unknown_0
Adam,Adam Clayton Powell Jr.,based on,inspired by the life of Adam Clayton Powell Jr.,unknown_0
Adam,June Tansey,created by,book writer for the musical,unknown_0
Adam,Richard Ahlert,created by,music and lyrics writer for the musical,unknown_0
Adam Clayton Powell Jr.,controversy,related to,controversial politician,unknown_0
Adam Clayton Powell (film),Adam Clayton Powell,subject,The film is about the civil rights leader,unknown_0
Adam Clayton Powell (film),Richard Kilberg,director,Richard Kilberg directed the film,unknown_0
Adam Clayton Powell (film),Academy Award,nominated_for,The film was nominated for an Academy Award,unknown_0
Adam Clayton Powell (film),Best Documentary Feature,category,The film was nominated for Best Documentary Feature,unknown_0
Adam Clayton Powell Jr.,Harlem,represented,Powell represented Harlem in the United States House of Representatives,unknown_0
Adam Clayton Powell Jr.,New York City,represented,Powell represented New York City in the United States House of Representatives,unknown_0
Adam Clayton Powell Jr.,United States House of Representatives,member,Powell was a member of the United States House of Representatives,unknown_0
Oscar Stanton De Priest,Illinois,from,De Priest was from Illinois,unknown_0
Oscar Stanton De Priest,Congress,elected_to,De Priest was the first black person to be elected to Congress in the 20th century,unknown_0
Adam Clayton Powell IV,New York State Assembly,member,Adam Clayton Powell IV was a member of the New York State Assembly,unknown_0
Adam Clayton Powell IV,New York City Council,member,Adam Clayton Powell IV was a member of the New York City Council,unknown_0
Adam Clayton Powell IV,Harlem,represented,Adam Clayton Powell IV represented the neighborhood of Harlem,unknown_0
Adam Clayton Powell IV,East Harlem,represented,Adam Clayton Powell IV represented the neighborhood of East Harlem,unknown_0
Charles Rangel,New York State Assembly,member,Charles Rangel was a member of the New York State Assembly,unknown_0
New York State Assembly,New York State,part_of,The New York State Assembly is part of the state of New York,unknown_0
New York City Council,New York City,part_of,The New York City Council is part of the city of New York,unknown_0
15th Congressional District,New York State,part_of,The 15th Congressional District is part of the state of New York,unknown_0
68th Assembly District,New York State,part_of,The 68th Assembly District is part of the state of New York,unknown_0
Democrat,New York State Assembly,affiliation,The New York State Assembly is affiliated with the Democrat party,unknown_0
Politician,Adam Clayton Powell IV,instance,Adam Clayton Powell IV is an instance of a politician,unknown_0
Politician,Charles Rangel,instance,Charles Rangel is an instance of a politician,unknown_0
Legislative body,New York State Assembly,instance,The New York State Assembly is an instance of a legislative body,unknown_0
